Company,Website,Stage,Location (for search),Country/State (for display on card),Category,One-liner
Kaya,kayaclimb.com,Seed,North America,Colorado,Healthcare,"All the beta, all the stoke"
KEIPhone,keiphoneglobal.com,Seed,Africa,Uganda,Entertainment & Social,Connecting and empowering women
Kidato,kidato.com,Seed,Africa,Kenya,Education,Live online classes your child will love
Kilo,kilo.vn,Seed,Asia,Vietnam,Financial Services,We raise the level of Vietnamese sellers
KinderPass,mykinderpass.com,Seed,Asia,Singapore,Healthcare,Developmental activities for babies and toddlers
Kindly,kindlyhis.com,Seed,Asia,India,Healthcare,India's best at-home men's sexual health platform
Kini,kini.id,Seed,Asia,Indonesia,Financial Services,On-demand payroll
Kippa,kippa.africa,Seed,Africa,Nigeria,Financial Services,Bookkeeping & accounting app for SMEs in Nigeria
KitaLulus,kitalulus.com,Seed,Asia,Indonesia,Workplace,"Find work, study, and community"
Kitchenful,kitchenful.com,Seed,Europe,Germany,Retail,Meal planning and groceries
Kluster,mykluster.io,Seed,Asia,India,Education,Focused study groups
Koala,teachwithkoala.com,Seed,North America,California,Education,Where online tutors succeed
Kodda,kodda.mx,Seed,North America,Mexico,Financial Services,All your policies and documents in one place
Koshex,koshex.com,Seed,Asia,India,Financial Services,A new way of investing
Kredi,kredi.mx,Seed,North America,Mexico,Financial Services,A mortgage loan without complications
Lalabox,lalabox.io,Seed,North America,California,Retail,Live stream shopping with unique deals
Landeed,landeed.com,Seed,Asia,India,Housing,Digitize land records in India
Language Learning Market,languagelearningmarket.com,Seed,North America,Texas,Retail,Shop for educational resources in any language
Leap Club,leapclub.in,Seed,Asia,India,Retail,"Absurdly fresh healthy groceries, delivered"
Learners,joinlearners.com,Seed,North America,Canada,Education,Professional learning for everyone
Learnfully,learnfully.com,Seed,North America,California,Education,Where the path to potential starts
Legaci,legaci.shop,Seed,North America,California ,Financial Services,Your Web3 home for VIP experiences
Leland,joinleland.com,Seed,North America,California,Education,"Find a coach, go places"
Lemonade Finance,lemonade.finance,Seed,North America,Canada,Financial Services,Borderless payments for Africans
Lifeat,lifeat.io,Seed,North America,Washington ,Workplace,All-in-one workspace for deep work
Line,useline.com,Seed,North America,California,Financial Services,Get money when it matters
Listed,listed.fans,Seed,Asia,India,Entertainment & Social,"Your growth, fueled by your fans"
Locale,shoplocale.com,Seed,North America,California,Retail,Discover new food from all across the Bay Area
Logcast,logcast.io,Seed,Europe,Sweden,Entertainment & Social,A social network for audio creators and their fans
Lovecast,lovecastapp.com,Seed,North America,California,Entertainment & Social,"A simple, high-quality livestream for your wedding"
Lovo,lovo.ai,Seed,North America,California,Financial Services,Free text to speech online with natural voices
Lumina,lumina.mba,Seed,Asia,Indonesia,Workplace,Find work and community
LunaJoy,hellolunajoy.com,Seed,North America,Florida,Healthcare,Online women's therapy & counseling
Magic Eden,magiceden.io,Early,North America,California,Entertainment & Social,Next-gen Solana NFT marketplace
Maindrop,maindrop.xyz,Seed,North America,Massachusetts,Entertainment & Social,Create and send NFTs to anyone 
Mana,mana.live,Seed,Europe,United Kingdom,Education,"Find a coach, go places"
Marathon Education,marathon.edu.vn,Seed,Asia,Vietnam,Education,The leading online classroom platform
Marble,marblepay.com,Seed,North America,New York,Financial Services,One hub for all your insurance needs
Marriage Pact,marriagepact.com,Seed,North America,California ,Entertainment & Social,Your most compatible partner on your campus
Masters,mastersapp.com,Seed,North America,California ,Healthcare,Train with the best
Materialdepot,materialdepot.in,Seed,Asia,India,Workplace,Online material library for architects & designers
Maven,maven.pet,Seed,North America,Delaware,Retail,Introducing proactive pet care
MedArrive,medarrive.com,Seed,North America,New York ,Healthcare,We power healthcare into the home
Mederva Health,medervahealth.com,Seed,North America,California ,Healthcare,US medical expertise for doctors around the world
Mentorcam,mentor.cam,Seed,North America,California,Education,1:1 advice from otherwise inaccessible mentors
Metaschool,metaschool.so,Seed,Asia,Singapore,Education,Join the Web3 rocketship
Mighty Health,mightyhealth.com,Seed,North America,California ,Healthcare,At-home workout app for people over 50
Mint Songs,mintsongs.com,Seed,North America,Virginia,Entertainment & Social,Connecting fans with artists through their music
Mira,talktomira.com,Seed,North America,New York ,Healthcare,Healthcare you can afford
Momento,tumomento.com,Seed,North America,Mexico,Financial Services,"Making driving easier, safer and cheaper"
Momo Project,momoproject.co,Seed,North America,California,Healthcare,Personalized nutrition for your dog
Moneypool,moneypool.mx,Seed,North America,Mexico,Financial Services,Send and receive payments without bank details
Moni Africa,moni.africa,Seed,Africa,Nigeria,Financial Services,Get enough cash for your POS Business
Monto,monto.mx,Seed,North America,Mexico,Financial Services,Your salary whenever you want
Munily,munily.com,Seed,North America,Panama,Workplace,Safe and connected communities
Musicasa,musicasaa.com,Seed,North America,Florida,Entertainment & Social,Intimate home concerts hosted by music lovers
Musicbuk,musicbuk.com,Seed,North America,Georgia ,Education,Virtual music lessons with top instructors
MyMentor,mymentor.global,Seed,North America,Massachusetts,Education,College application help from top mentors
Mystery,trymystery.com,Seed,North America,Washington,Retail,Bring wonder to work
Nanofin,vuiapp.vn,Seed,Asia,Vietnam,Financial Services,Flexible payroll application
Nestlings,nestlings.com,Seed,North America,California,Education,4 easy steps to your dream study destination
Nextchapter,tonextchapter.com,Seed,Asia,South Korea,Retail,A next generation consumer brands growth platform
NextPay,nextpay.world,Seed,Asia,Philippines,Financial Services,All-in-one banking solution for growing business
NoCap Live,nocapshows.com,Seed,North America,California,Retail,Experience music together
Nomod,nomod.com,Seed,North America,British Virgin Islands,Financial Services,The payment processing app to sell anything
